row_id,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,tariff_plan,status,age,customer_value,cluster,churn,conjunto
0,8,0,38,0,4370,71,5,17,0,0,30,197.64,1,0,teste
1,0,0,39,0,318,5,7,4,0,1,25,46.035,1,0,treino
2,10,0,37,0,2453,60,359,24,0,0,30,1536.52,0,0,treino
3,10,0,38,0,4198,66,1,35,0,0,15,240.02,1,0,treino
4,3,0,38,0,2393,58,2,33,0,0,15,145.805,1,0,treino
5,11,0,38,1,3775,82,32,28,0,0,30,282.28,1,0,treino
6,4,0,38,0,2360,39,285,18,0,0,30,1235.96,0,0,treino
7,13,0,37,2,9115,121,144,43,0,0,30,945.44,2,0,teste
8,7,0,38,0,13773,169,0,44,0,0,30,557.68,2,0,treino
9,7,0,38,1,4515,83,2,25,0,0,30,191.92,1,0,treino
10,6,0,38,0,5918,95,7,12,0,0,30,268.52,1,0,treino
11,9,0,38,0,2238,54,8,17,0,1,30,123.68,1,0,teste
12,25,0,38,3,15140,225,54,32,0,0,30,830.6,2,0,treino
13,4,0,38,1,3095,27,483,8,0,0,30,2056.88,0,0,treino
14,9,0,37,0,15485,182,150,30,0,0,25,1380.015,2,0,teste
15,3,0,37,1,6500,86,186,26,0,0,30,1007.44,0,0,teste
16,0,0,37,0,875,14,0,11,0,1,25,40.005,1,1,treino
17,2,0,38,0,710,14,13,8,0,1,30,80.96,1,0,teste
18,0,0,37,0,0,0,0,0,0,1,25,0.0,1,1,treino
19,3,0,37,0,7508,127,384,43,0,0,25,2071.575,0,0,teste
20,7,0,37,1,11465,154,11,47,0,0,45,317.975,2,0,treino
21,8,0,37,1,6718,75,108,37,0,0,25,791.685,0,0,treino
22,23,1,33,0,955,47,16,17,0,1,25,117.09,1,1,treino
23,21,1,36,8,10435,93,1,42,1,0,55,159.42,2,0,treino
24,13,1,36,1,5818,98,26,24,0,0,25,383.22,1,1,treino
25,1,0,34,0,2840,22,0,14,0,0,30,114.48,1,0,teste
26,9,0,35,0,2990,41,9,16,0,1,30,157.24,1,1,teste
27,9,1,36,0,2268,44,34,31,0,1,30,228.48,1,1,treino
28,0,0,36,0,133,2,0,2,0,1,30,5.4,1,1,treino
29,1,0,36,0,1668,25,0,6,0,0,30,67.72,1,0,treino
30,3,0,33,1,6785,97,14,22,0,0,55,124.23,1,0,treino
31,0,1,36,0,628,7,9,4,0,1,45,38.375,1,1,treino
32,0,0,36,1,338,4,4,2,0,0,55,11.13,1,0,treino
33,25,0,31,3,16075,238,0,80,1,0,25,734.085,2,0,treino
34,6,0,34,3,6965,116,271,33,1,0,25,1538.145,0,0,treino
35,2,0,36,0,3718,82,2,28,0,0,25,180.0,1,0,treino
36,3,0,35,0,1665,44,38,20,0,1,30,220.36,1,0,treino
37,6,0,36,0,2780,53,175,23,0,0,25,914.985,0,0,treino
38,4,0,27,1,1315,36,193,11,1,0,25,929.295,0,0,treino
39,4,0,26,0,1568,39,30,68,0,0,45,115.175,1,0,treino
40,11,0,27,0,700,25,10,7,0,1,25,77.625,1,0,treino
41,0,0,26,0,825,10,21,3,0,1,45,73.375,1,1,treino
42,10,0,25,0,1225,32,19,13,0,0,25,142.065,1,0,treino
43,2,0,25,0,3225,61,8,23,0,0,30,163.44,1,0,teste
44,2,0,18,0,1695,26,28,14,0,0,25,203.445,1,0,treino
45,16,0,17,1,6393,141,85,42,1,0,25,676.53,2,0,treino
46,12,0,15,0,8933,171,73,40,0,0,45,410.1,2,0,treino
47,8,0,16,3,2853,45,31,19,1,0,30,239.92,1,0,teste
48,2,0,9,1,4390,40,215,10,0,0,30,1037.2,0,0,treino
49,3,0,9,1,1488,19,0,7,0,0,30,60.28,1,1,treino
50,11,0,40,1,4430,74,10,19,0,0,30,220.16,1,0,treino
51,3,0,41,1,378,8,12,6,0,0,30,63.44,1,0,treino
52,13,0,39,1,2513,63,364,26,0,0,30,1559.04,0,0,teste
53,13,0,40,1,4258,69,6,37,0,0,15,270.985,1,0,treino
54,6,0,40,1,2453,61,7,35,0,0,25,144.63,1,0,treino
55,14,0,40,2,3835,85,37,30,1,0,30,304.8,1,0,teste
56,7,0,40,1,2420,42,290,20,0,0,30,1258.48,0,0,teste
57,16,0,39,3,9175,124,149,45,0,0,30,967.96,2,0,treino
