experimento,modelo,balanceamento,cv_f1,cv_f1_std,cv_precision,cv_recall,cv_ap,cv_train_f1,parametros
Random Forest | SMOTENC,Random Forest,SMOTENC,0.8686698476415,0.030972126623874965,0.8325381117315803,0.9089816617981175,0.8917602894711356,0.9713984735353989,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'prep': ColumnTransformer(transformers=[('numeric', StandardScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}"
Random Forest | Sem balanceamento,Random Forest,Sem balanceamento,0.8436933848951019,0.024730175152632584,0.8820520735936519,0.8100494969165855,0.921078007402188,0.9721892356269777,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'prep': ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}"
KNN | Sem balanceamento,KNN,Sem balanceamento,0.8298033920919703,0.015960224424279905,0.8619678995299423,0.8025486854917234,0.8993004115954729,0.971145911888267,"{'model__n_neighbors': 5, 'model__weights': 'distance', 'prep': ColumnTransformer(transformers=[('numeric', MinMaxScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}"
KNN | SMOTENC,KNN,SMOTENC,0.8266564059343082,0.012332108763131495,0.7564899071997291,0.9114500162284973,0.8470160558957541,0.9712926759233493,"{'model__n_neighbors': 5, 'model__weights': 'distance', 'prep': ColumnTransformer(transformers=[('numeric', MinMaxScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}"
SVM | SMOTENC,SVM,SMOTENC,0.8142750023942975,0.02772003319104105,0.7319237877067029,0.9191090555014606,0.9158054542301288,0.8485543105215589,"{'model__C': 10, 'model__gamma': 'scale', 'prep': ColumnTransformer(transformers=[('numeric', StandardScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}"
SVM | Sem balanceamento,SVM,Sem balanceamento,0.8096916910434093,0.014422080705088809,0.8732689532689533,0.7570423563777993,0.9183278040805508,0.8503529462154729,"{'model__C': 10, 'model__gamma': 'scale', 'prep': ColumnTransformer(transformers=[('numeric', StandardScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}"
SVM | Undersampling,SVM,Undersampling,0.7646567918992629,0.04486231411739055,0.6402486757571504,0.9544263226225252,0.8978078826337201,0.7775787937355433,"{'model__C': 10, 'model__gamma': 'scale', 'prep': ColumnTransformer(transformers=[('numeric', StandardScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}"
KNN | Undersampling,KNN,Undersampling,0.7623728049033461,0.023673061801989463,0.6479269529604534,0.9291739694904251,0.8187143567034626,0.8225076468675508,"{'model__n_neighbors': 5, 'model__weights': 'distance', 'prep': ColumnTransformer(transformers=[('numeric', MinMaxScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}"
Random Forest | Undersampling,Random Forest,Undersampling,0.7424108358878013,0.0329811372077236,0.6125486677301193,0.9443638429081467,0.852168948195281,0.808652203959564,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'prep': ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}"
Regressão Logística | SMOTENC,Regressão Logística,SMOTENC,0.6520243867818493,0.057219227675235435,0.5189016285714937,0.8784388185654007,0.7030884460467871,0.6489583249724123,"{'model__C': 0.1, 'prep': ColumnTransformer(transformers=[('numeric', MinMaxScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}"
