experimento,conjunto,n,acuracia,precisao_churn,recall_churn,f1_churn,roc_auc,average_precision
Random Forest | Sem balanceamento,treino,2517,0.991259435836313,0.9697732997481109,0.9746835443037974,0.9722222222222222,0.9995895918586478,0.9975776781671102
Random Forest | Sem balanceamento,teste,633,0.966824644549763,0.9072164948453608,0.88,0.8934010152284264,0.9944652908067542,0.9707063330569146
Random Forest | SMOTENC,treino,2517,0.9908621374652364,0.9536585365853658,0.9898734177215189,0.9714285714285714,0.9990407902742814,0.9944040791774813
Random Forest | SMOTENC,teste,633,0.9605055292259084,0.8378378378378378,0.93,0.8815165876777251,0.9904784240150094,0.9433152304571987
Random Forest | Undersampling,treino,2517,0.9284862932061978,0.6869565217391305,1.0,0.8144329896907216,0.9920143404240089,0.9280466410464135
Random Forest | Undersampling,teste,633,0.9241706161137441,0.678082191780822,0.99,0.8048780487804879,0.9825797373358349,0.8570991027217543
SVM | Sem balanceamento,treino,2517,0.9594755661501788,0.9013698630136986,0.8329113924050633,0.8657894736842106,0.9856416802872857,0.9441119691901939
SVM | Sem balanceamento,teste,633,0.9462875197472354,0.8928571428571429,0.75,0.8152173913043478,0.9818105065666041,0.9344414080247909
SVM | SMOTENC,treino,2517,0.9463647199046484,0.7620967741935484,0.9569620253164557,0.8484848484848485,0.9867726887698494,0.9406008186928537
SVM | SMOTENC,teste,633,0.9320695102685624,0.7175572519083969,0.94,0.8138528138528138,0.9846998123827392,0.9333105842211187
SVM | Undersampling,treino,2517,0.9141835518474374,0.6514382402707276,0.9746835443037974,0.7809330628803245,0.9835216359059401,0.922741688815672
SVM | Undersampling,teste,633,0.9083728278041074,0.6381578947368421,0.97,0.7698412698412699,0.9839118198874297,0.9308150565435507
KNN | Sem balanceamento,treino,2517,0.9908621374652364,0.9626865671641791,0.979746835443038,0.9711417816813049,0.9995931709994154,0.9974041367299469
KNN | Sem balanceamento,teste,633,0.943127962085308,0.826530612244898,0.81,0.8181818181818182,0.980562851782364,0.9140767798513594
KNN | SMOTENC,treino,2517,0.9908621374652364,0.958128078817734,0.9848101265822785,0.9712858926342073,0.999600925804412,0.9972176797348493
KNN | SMOTENC,teste,633,0.933649289099526,0.7230769230769231,0.94,0.8173913043478261,0.9735272045028143,0.8331992186403405
KNN | Undersampling,treino,2517,0.9344457687723481,0.7060931899641577,0.9974683544303797,0.8268625393494229,0.9872946467984586,0.8835609871224654
KNN | Undersampling,teste,633,0.9052132701421801,0.631578947368421,0.96,0.7619047619047619,0.9716885553470919,0.8055472571324306
Regressão Logística | Sem balanceamento,treino,2517,0.88875645609853,0.7467811158798283,0.44050632911392407,0.554140127388535,0.9329471838127394,0.7529739018272916
Regressão Logística | Sem balanceamento,teste,633,0.9036334913112164,0.8,0.52,0.6303030303030303,0.9405159474671669,0.7927260339092189
Regressão Logística | SMOTENC,treino,2517,0.8522050059594756,0.5170876671619614,0.8810126582278481,0.651685393258427,0.9199847289993915,0.7018651791025368
Regressão Logística | SMOTENC,teste,633,0.8436018957345972,0.5028248587570622,0.89,0.6425992779783394,0.9284333958724202,0.7433999262101955
Regressão Logística | Undersampling,treino,2517,0.8514104092173223,0.5151953690303908,0.9012658227848102,0.6556169429097606,0.9238919576706952,0.7173208076664414
Regressão Logística | Undersampling,teste,633,0.8451816745655608,0.5055555555555555,0.91,0.65,0.9318855534709193,0.7543143551234377
Baseline majoritária,treino,2517,0.843067143424712,0.0,0.0,0.0,0.5,0.15693285657528805
Baseline majoritária,teste,633,0.8420221169036335,0.0,0.0,0.0,0.5,0.1579778830963665
