row_id,real,previsto,score,experimento,conjunto
1,0,0,0.025,Random Forest | Sem balanceamento,treino
2,0,0,0.0,Random Forest | Sem balanceamento,treino
3,0,0,0.0,Random Forest | Sem balanceamento,treino
4,0,0,0.0,Random Forest | Sem balanceamento,treino
5,0,0,0.0,Random Forest | Sem balanceamento,treino
6,0,0,0.0,Random Forest | Sem balanceamento,treino
8,0,0,0.0,Random Forest | Sem balanceamento,treino
9,0,0,0.0,Random Forest | Sem balanceamento,treino
10,0,0,0.0,Random Forest | Sem balanceamento,treino
12,0,0,0.0,Random Forest | Sem balanceamento,treino
13,0,0,0.0,Random Forest | Sem balanceamento,treino
16,1,0,0.2893571428571429,Random Forest | Sem balanceamento,treino
18,1,0,0.4668991865977161,Random Forest | Sem balanceamento,treino
20,0,0,0.0,Random Forest | Sem balanceamento,treino
21,0,0,0.0,Random Forest | Sem balanceamento,treino
22,1,1,1.0,Random Forest | Sem balanceamento,treino
23,0,0,0.045,Random Forest | Sem balanceamento,treino
24,1,1,0.975,Random Forest | Sem balanceamento,treino
27,1,1,0.99,Random Forest | Sem balanceamento,treino
28,1,1,0.985,Random Forest | Sem balanceamento,treino
29,0,0,0.0,Random Forest | Sem balanceamento,treino
30,0,0,0.0,Random Forest | Sem balanceamento,treino
31,1,1,0.995,Random Forest | Sem balanceamento,treino
32,0,0,0.0,Random Forest | Sem balanceamento,treino
33,0,0,0.0,Random Forest | Sem balanceamento,treino
34,0,0,0.0,Random Forest | Sem balanceamento,treino
35,0,0,0.005,Random Forest | Sem balanceamento,treino
36,0,0,0.005,Random Forest | Sem balanceamento,treino
37,0,0,0.0,Random Forest | Sem balanceamento,treino
38,0,0,0.015,Random Forest | Sem balanceamento,treino
39,0,0,0.0,Random Forest | Sem balanceamento,treino
40,0,0,0.0,Random Forest | Sem balanceamento,treino
41,1,0,0.33245436507936516,Random Forest | Sem balanceamento,treino
42,0,0,0.005,Random Forest | Sem balanceamento,treino
44,0,0,0.0,Random Forest | Sem balanceamento,treino
45,0,0,0.0,Random Forest | Sem balanceamento,treino
46,0,0,0.0,Random Forest | Sem balanceamento,treino
48,0,0,0.0,Random Forest | Sem balanceamento,treino
49,1,1,0.985,Random Forest | Sem balanceamento,treino
50,0,0,0.0,Random Forest | Sem balanceamento,treino
51,0,0,0.165,Random Forest | Sem balanceamento,treino
53,0,0,0.0,Random Forest | Sem balanceamento,treino
54,0,0,0.01,Random Forest | Sem balanceamento,treino
57,0,0,0.0,Random Forest | Sem balanceamento,treino
58,0,0,0.0,Random Forest | Sem balanceamento,treino
59,0,0,0.0,Random Forest | Sem balanceamento,treino
60,0,0,0.005,Random Forest | Sem balanceamento,treino
61,0,0,0.06,Random Forest | Sem balanceamento,treino
62,0,0,0.0,Random Forest | Sem balanceamento,treino
63,0,0,0.005,Random Forest | Sem balanceamento,treino
64,0,0,0.0,Random Forest | Sem balanceamento,treino
65,0,0,0.0,Random Forest | Sem balanceamento,treino
66,0,0,0.02,Random Forest | Sem balanceamento,treino
67,0,0,0.03,Random Forest | Sem balanceamento,treino
68,1,1,0.9,Random Forest | Sem balanceamento,treino
69,0,0,0.0,Random Forest | Sem balanceamento,treino
71,0,0,0.0,Random Forest | Sem balanceamento,treino
73,0,0,0.015,Random Forest | Sem balanceamento,treino
75,0,0,0.025,Random Forest | Sem balanceamento,treino
76,1,1,0.645,Random Forest | Sem balanceamento,treino
77,1,1,0.915,Random Forest | Sem balanceamento,treino
79,0,0,0.02,Random Forest | Sem balanceamento,treino
80,0,0,0.005,Random Forest | Sem balanceamento,treino
81,1,1,0.64625,Random Forest | Sem balanceamento,treino
82,0,0,0.02,Random Forest | Sem balanceamento,treino
83,0,0,0.0,Random Forest | Sem balanceamento,treino
84,0,0,0.01,Random Forest | Sem balanceamento,treino
85,0,0,0.0,Random Forest | Sem balanceamento,treino
88,0,0,0.0,Random Forest | Sem balanceamento,treino
89,0,0,0.0,Random Forest | Sem balanceamento,treino
90,0,0,0.015,Random Forest | Sem balanceamento,treino
91,0,0,0.065,Random Forest | Sem balanceamento,treino
92,0,0,0.0,Random Forest | Sem balanceamento,treino
93,0,0,0.0,Random Forest | Sem balanceamento,treino
95,0,0,0.0,Random Forest | Sem balanceamento,treino
96,0,0,0.0,Random Forest | Sem balanceamento,treino
97,0,0,0.0,Random Forest | Sem balanceamento,treino
98,0,0,0.0,Random Forest | Sem balanceamento,treino
99,1,1,0.995,Random Forest | Sem balanceamento,treino
100,0,0,0.0,Random Forest | Sem balanceamento,treino
101,0,0,0.225,Random Forest | Sem balanceamento,treino
102,0,0,0.0,Random Forest | Sem balanceamento,treino
103,0,0,0.0,Random Forest | Sem balanceamento,treino
104,0,0,0.0,Random Forest | Sem balanceamento,treino
105,0,0,0.0,Random Forest | Sem balanceamento,treino
106,0,0,0.0,Random Forest | Sem balanceamento,treino
107,0,0,0.0,Random Forest | Sem balanceamento,treino
109,0,0,0.0,Random Forest | Sem balanceamento,treino
111,0,0,0.225,Random Forest | Sem balanceamento,treino
112,0,0,0.0,Random Forest | Sem balanceamento,treino
114,0,0,0.0,Random Forest | Sem balanceamento,treino
116,0,0,0.017666666666666667,Random Forest | Sem balanceamento,treino
117,0,0,0.05,Random Forest | Sem balanceamento,treino
118,1,1,0.5892722262902217,Random Forest | Sem balanceamento,treino
120,0,0,0.0,Random Forest | Sem balanceamento,treino
123,0,0,0.0,Random Forest | Sem balanceamento,treino
124,1,1,0.945,Random Forest | Sem balanceamento,treino
125,0,0,0.01,Random Forest | Sem balanceamento,treino
126,1,1,0.98,Random Forest | Sem balanceamento,treino
127,1,1,0.995,Random Forest | Sem balanceamento,treino
129,0,0,0.0,Random Forest | Sem balanceamento,treino
130,0,0,0.0,Random Forest | Sem balanceamento,treino
131,1,1,0.85,Random Forest | Sem balanceamento,treino
133,0,0,0.0,Random Forest | Sem balanceamento,treino
134,0,0,0.0,Random Forest | Sem balanceamento,treino
137,0,0,0.0,Random Forest | Sem balanceamento,treino
139,0,0,0.0,Random Forest | Sem balanceamento,treino
140,0,0,0.005,Random Forest | Sem balanceamento,treino
141,1,1,0.935,Random Forest | Sem balanceamento,treino
142,0,0,0.015,Random Forest | Sem balanceamento,treino
144,0,0,0.0,Random Forest | Sem balanceamento,treino
145,0,0,0.0,Random Forest | Sem balanceamento,treino
146,0,0,0.0,Random Forest | Sem balanceamento,treino
147,0,0,0.0,Random Forest | Sem balanceamento,treino
150,0,0,0.0,Random Forest | Sem balanceamento,treino
151,1,1,0.97,Random Forest | Sem balanceamento,treino
152,0,0,0.0,Random Forest | Sem balanceamento,treino
154,0,0,0.0,Random Forest | Sem balanceamento,treino
155,0,0,0.0,Random Forest | Sem balanceamento,treino
156,0,0,0.0,Random Forest | Sem balanceamento,treino
157,0,0,0.0,Random Forest | Sem balanceamento,treino
158,0,0,0.0,Random Forest | Sem balanceamento,treino
159,0,0,0.0,Random Forest | Sem balanceamento,treino
160,0,0,0.01,Random Forest | Sem balanceamento,treino
161,0,0,0.02,Random Forest | Sem balanceamento,treino
162,0,0,0.0,Random Forest | Sem balanceamento,treino
164,0,0,0.0,Random Forest | Sem balanceamento,treino
165,0,0,0.0,Random Forest | Sem balanceamento,treino
166,0,0,0.0775,Random Forest | Sem balanceamento,treino
167,0,0,0.015,Random Forest | Sem balanceamento,treino
168,1,1,0.77,Random Forest | Sem balanceamento,treino
169,0,0,0.0,Random Forest | Sem balanceamento,treino
170,0,0,0.0,Random Forest | Sem balanceamento,treino
171,0,0,0.0,Random Forest | Sem balanceamento,treino
172,1,1,0.98,Random Forest | Sem balanceamento,treino
174,1,1,0.7,Random Forest | Sem balanceamento,treino
177,1,1,0.96,Random Forest | Sem balanceamento,treino
178,1,1,0.84,Random Forest | Sem balanceamento,treino
179,0,0,0.01,Random Forest | Sem balanceamento,treino
180,0,0,0.01,Random Forest | Sem balanceamento,treino
182,0,0,0.055,Random Forest | Sem balanceamento,treino
183,0,0,0.0,Random Forest | Sem balanceamento,treino
184,0,0,0.02,Random Forest | Sem balanceamento,treino
186,0,0,0.06,Random Forest | Sem balanceamento,treino
187,0,0,0.0,Random Forest | Sem balanceamento,treino
188,0,0,0.015,Random Forest | Sem balanceamento,treino
190,0,0,0.015,Random Forest | Sem balanceamento,treino
191,0,0,0.095,Random Forest | Sem balanceamento,treino
192,0,0,0.0,Random Forest | Sem balanceamento,treino
193,0,0,0.005,Random Forest | Sem balanceamento,treino
194,0,0,0.01,Random Forest | Sem balanceamento,treino
196,0,0,0.0,Random Forest | Sem balanceamento,treino
198,0,0,0.0,Random Forest | Sem balanceamento,treino
200,0,0,0.005,Random Forest | Sem balanceamento,treino
201,0,1,0.5892722262902217,Random Forest | Sem balanceamento,treino
203,0,0,0.005,Random Forest | Sem balanceamento,treino
204,0,0,0.005,Random Forest | Sem balanceamento,treino
205,0,0,0.01,Random Forest | Sem balanceamento,treino
206,0,0,0.0,Random Forest | Sem balanceamento,treino
207,0,0,0.0,Random Forest | Sem balanceamento,treino
208,0,0,0.0,Random Forest | Sem balanceamento,treino
209,0,0,0.0,Random Forest | Sem balanceamento,treino
210,0,0,0.07,Random Forest | Sem balanceamento,treino
213,0,0,0.005,Random Forest | Sem balanceamento,treino
214,0,0,0.005,Random Forest | Sem balanceamento,treino
215,0,0,0.0,Random Forest | Sem balanceamento,treino
216,0,0,0.015166666666666667,Random Forest | Sem balanceamento,treino
217,0,0,0.07725,Random Forest | Sem balanceamento,treino
219,0,0,0.0,Random Forest | Sem balanceamento,treino
220,0,0,0.0,Random Forest | Sem balanceamento,treino
222,1,1,0.935,Random Forest | Sem balanceamento,treino
223,0,0,0.0,Random Forest | Sem balanceamento,treino
224,1,1,0.975,Random Forest | Sem balanceamento,treino
226,1,1,1.0,Random Forest | Sem balanceamento,treino
227,1,1,0.89,Random Forest | Sem balanceamento,treino
228,1,1,1.0,Random Forest | Sem balanceamento,treino
229,0,0,0.0,Random Forest | Sem balanceamento,treino
230,0,0,0.01,Random Forest | Sem balanceamento,treino
231,1,1,0.9636666666666668,Random Forest | Sem balanceamento,treino
232,0,0,0.01,Random Forest | Sem balanceamento,treino
233,0,0,0.0,Random Forest | Sem balanceamento,treino
234,0,0,0.0,Random Forest | Sem balanceamento,treino
235,0,0,0.0,Random Forest | Sem balanceamento,treino
236,0,0,0.025,Random Forest | Sem balanceamento,treino
238,0,0,0.0,Random Forest | Sem balanceamento,treino
239,0,0,0.005,Random Forest | Sem balanceamento,treino
240,0,0,0.0,Random Forest | Sem balanceamento,treino
241,0,0,0.01,Random Forest | Sem balanceamento,treino
242,0,0,0.0,Random Forest | Sem balanceamento,treino
243,0,0,0.005,Random Forest | Sem balanceamento,treino
244,0,0,0.02,Random Forest | Sem balanceamento,treino
246,0,0,0.0,Random Forest | Sem balanceamento,treino
247,0,0,0.025,Random Forest | Sem balanceamento,treino
248,0,0,0.0,Random Forest | Sem balanceamento,treino
249,1,1,0.91,Random Forest | Sem balanceamento,treino
253,0,0,0.0,Random Forest | Sem balanceamento,treino
254,0,0,0.0,Random Forest | Sem balanceamento,treino
255,0,0,0.005,Random Forest | Sem balanceamento,treino
256,0,0,0.0,Random Forest | Sem balanceamento,treino
257,0,0,0.0,Random Forest | Sem balanceamento,treino
259,0,0,0.0,Random Forest | Sem balanceamento,treino
260,0,0,0.005,Random Forest | Sem balanceamento,treino
261,0,0,0.105,Random Forest | Sem balanceamento,treino
262,0,0,0.0,Random Forest | Sem balanceamento,treino
264,0,0,0.0,Random Forest | Sem balanceamento,treino
266,0,0,0.06,Random Forest | Sem balanceamento,treino
267,0,0,0.01,Random Forest | Sem balanceamento,treino
269,0,0,0.0,Random Forest | Sem balanceamento,treino
270,0,0,0.0,Random Forest | Sem balanceamento,treino
271,0,0,0.0,Random Forest | Sem balanceamento,treino
272,1,1,0.95,Random Forest | Sem balanceamento,treino
273,0,0,0.0,Random Forest | Sem balanceamento,treino
274,0,0,0.005,Random Forest | Sem balanceamento,treino
275,0,0,0.005,Random Forest | Sem balanceamento,treino
276,1,1,0.94,Random Forest | Sem balanceamento,treino
277,1,1,0.93,Random Forest | Sem balanceamento,treino
279,0,0,0.01,Random Forest | Sem balanceamento,treino
280,0,0,0.0,Random Forest | Sem balanceamento,treino
281,1,1,0.88,Random Forest | Sem balanceamento,treino
282,0,0,0.015,Random Forest | Sem balanceamento,treino
283,0,0,0.0,Random Forest | Sem balanceamento,treino
284,0,0,0.005,Random Forest | Sem balanceamento,treino
285,0,0,0.0,Random Forest | Sem balanceamento,treino
286,0,0,0.015,Random Forest | Sem balanceamento,treino
287,0,0,0.0,Random Forest | Sem balanceamento,treino
288,0,0,0.0,Random Forest | Sem balanceamento,treino
289,0,0,0.0,Random Forest | Sem balanceamento,treino
290,0,0,0.035,Random Forest | Sem balanceamento,treino
291,0,0,0.065,Random Forest | Sem balanceamento,treino
292,0,0,0.005,Random Forest | Sem balanceamento,treino
293,0,0,0.0,Random Forest | Sem balanceamento,treino
294,0,0,0.0,Random Forest | Sem balanceamento,treino
295,0,0,0.0,Random Forest | Sem balanceamento,treino
296,0,0,0.0,Random Forest | Sem balanceamento,treino
300,0,0,0.005,Random Forest | Sem balanceamento,treino
302,0,0,0.0,Random Forest | Sem balanceamento,treino
303,0,0,0.0,Random Forest | Sem balanceamento,treino
304,0,0,0.005,Random Forest | Sem balanceamento,treino
305,0,0,0.015,Random Forest | Sem balanceamento,treino
306,0,0,0.0,Random Forest | Sem balanceamento,treino
308,0,0,0.0,Random Forest | Sem balanceamento,treino
309,0,0,0.0,Random Forest | Sem balanceamento,treino
311,0,0,0.07,Random Forest | Sem balanceamento,treino
313,0,0,0.0,Random Forest | Sem balanceamento,treino
315,0,0,0.0,Random Forest | Sem balanceamento,treino
316,0,0,0.02,Random Forest | Sem balanceamento,treino
317,0,0,0.045,Random Forest | Sem balanceamento,treino
318,1,1,0.6700357142857145,Random Forest | Sem balanceamento,treino
319,0,0,0.0,Random Forest | Sem balanceamento,treino
321,0,0,0.0,Random Forest | Sem balanceamento,treino
