classe_ou_media,precision,recall,f1-score,support,experimento,conjunto
0,0.9952830188679244,0.994344957587182,0.9948137670909948,2122.0,Random Forest | Sem balanceamento,treino
1,0.9697732997481108,0.9746835443037974,0.9722222222222222,395.0,Random Forest | Sem balanceamento,treino
macro avg,0.9825281593080176,0.9845142509454896,0.9835179946566084,2517.0,Random Forest | Sem balanceamento,treino
weighted avg,0.9912797057760188,0.991259435836313,0.9912684114202897,2517.0,Random Forest | Sem balanceamento,treino
0,0.9776119402985076,0.9831144465290806,0.980355472404116,533.0,Random Forest | Sem balanceamento,teste
1,0.9072164948453608,0.88,0.8934010152284264,100.0,Random Forest | Sem balanceamento,teste
macro avg,0.942414217571934,0.9315572232645404,0.9368782438162712,633.0,Random Forest | Sem balanceamento,teste
weighted avg,0.9664910168461937,0.966824644549763,0.9666185913337068,633.0,Random Forest | Sem balanceamento,teste
0,0.9981015662078784,0.9910461828463714,0.9945613620241192,2122.0,Random Forest | SMOTENC,treino
1,0.9536585365853658,0.9898734177215188,0.9714285714285714,395.0,Random Forest | SMOTENC,treino
macro avg,0.9758800513966222,0.9904598002839452,0.9829949667263452,2517.0,Random Forest | SMOTENC,treino
weighted avg,0.9911269946143574,0.9908621374652364,0.990931067115402,2517.0,Random Forest | SMOTENC,treino
0,0.9865900383141762,0.9662288930581614,0.976303317535545,533.0,Random Forest | SMOTENC,teste
1,0.8378378378378378,0.93,0.8815165876777251,100.0,Random Forest | SMOTENC,teste
macro avg,0.912213938076007,0.9481144465290808,0.9289099526066352,633.0,Random Forest | SMOTENC,teste
weighted avg,0.963090480576998,0.9605055292259084,0.9613291106069796,633.0,Random Forest | SMOTENC,teste
0,1.0,0.9151743638077284,0.9557086614173228,2122.0,Random Forest | Undersampling,treino
1,0.6869565217391305,1.0,0.8144329896907216,395.0,Random Forest | Undersampling,treino
macro avg,0.8434782608695652,0.9575871819038644,0.8850708255540223,2517.0,Random Forest | Undersampling,treino
weighted avg,0.9508731927242576,0.9284862932061978,0.9335378666886746,2517.0,Random Forest | Undersampling,treino
0,0.997946611909651,0.9118198874296436,0.9529411764705882,533.0,Random Forest | Undersampling,teste
1,0.678082191780822,0.99,0.8048780487804879,100.0,Random Forest | Undersampling,teste
macro avg,0.8380144018452365,0.9509099437148216,0.878909612625538,633.0,Random Forest | Undersampling,teste
weighted avg,0.947415107939852,0.924170616113744,0.9295504769934791,633.0,Random Forest | Undersampling,teste
0,0.9693308550185874,0.9830348727615456,0.9761347683668694,2122.0,SVM | Sem balanceamento,treino
1,0.9013698630136986,0.8329113924050633,0.8657894736842106,395.0,SVM | Sem balanceamento,treino
macro avg,0.9353503590161428,0.9079731325833044,0.92096212102554,2517.0,SVM | Sem balanceamento,treino
weighted avg,0.9586655424075698,0.9594755661501788,0.958817966062678,2517.0,SVM | Sem balanceamento,treino
0,0.9544626593806922,0.9831144465290806,0.9685767097966728,533.0,SVM | Sem balanceamento,teste
1,0.8928571428571429,0.75,0.8152173913043478,100.0,SVM | Sem balanceamento,teste
macro avg,0.9236599011189176,0.8665572232645403,0.8918970505505104,633.0,SVM | Sem balanceamento,teste
