row_id,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,tariff_plan,status,age,customer_value
1573,12,0,34,5,9530,77,0,25,0,0,45,240.175
1157,5,0,33,0,8750,112,132,39,0,0,30,882.48
1852,7,0,40,0,2148,60,360,23,0,0,30,1528.32
665,5,0,37,1,6690,87,195,29,0,0,30,1051.08
2402,10,0,33,1,2498,56,351,20,0,0,30,1506.16
2488,11,0,32,2,1800,50,211,18,1,0,30,918.0
761,7,1,33,0,2238,48,0,16,0,1,30,91.44
343,0,0,19,0,2965,51,0,17,0,0,30,120.64
2590,20,0,29,0,1605,41,38,24,0,1,30,217.84
753,8,0,33,0,4198,60,0,34,0,0,15,234.19
1251,0,0,33,0,0,0,0,0,0,1,25,0.0
136,0,0,33,0,1605,41,33,18,0,1,30,197.84
250,13,0,44,1,4630,81,20,23,0,0,30,268.44
385,4,0,39,0,3898,90,13,33,0,0,25,237.96
2823,24,0,38,9,10550,98,0,41,0,0,55,159.72
341,0,0,20,0,0,0,6,0,0,1,45,15.0
11,9,0,38,0,2238,54,8,17,0,1,30,123.68
1186,0,0,31,0,1300,35,26,16,0,1,30,157.4
1508,6,0,36,1,14068,173,14,57,0,0,30,625.64
1592,0,0,23,0,0,0,0,0,0,0,25,0.0
578,0,0,37,0,248,8,32,6,0,1,30,138.24
1355,1,0,30,0,3210,66,10,20,0,0,25,192.42
212,24,0,34,2,15060,223,44,28,0,0,30,787.32
3126,14,1,37,0,3295,47,16,18,0,1,30,197.68
2540,14,0,26,0,825,23,7,4,0,1,30,61.92
490,15,0,27,0,1300,35,31,22,0,1,30,177.4
1782,0,0,34,0,0,0,0,0,0,0,55,0.0
1286,0,0,29,0,1280,36,21,14,0,1,30,136.64
3120,12,0,39,2,11770,160,18,49,0,0,45,343.25
1212,21,0,40,3,14915,221,57,34,0,0,30,833.44
2202,12,0,37,1,2698,63,361,24,0,0,30,1554.44
2127,14,1,38,0,2573,50,41,33,0,1,45,168.075
1144,0,0,18,0,1450,23,26,14,0,0,25,183.285
2799,10,1,11,2,1982,26,16,12,0,0,30,144.32
591,0,0,27,0,940,16,53,7,0,1,45,156.4
1597,0,0,14,0,1948,29,3,2,0,0,30,91.08
1541,0,0,24,0,1120,14,35,16,0,1,45,115.85
3051,5,0,41,0,623,11,14,6,0,1,30,81.36
701,0,0,39,0,128,4,0,1,0,1,25,5.94
1554,0,0,36,0,1488,42,0,16,0,0,15,84.15
1720,4,0,35,0,11350,149,13,48,0,0,30,511.96
175,2,0,38,1,2920,24,10,18,0,0,30,157.76
375,3,0,37,0,3020,30,11,19,0,0,30,166.0
2149,8,1,11,2,1793,25,7,9,0,0,30,100.72
1563,0,0,36,0,2190,11,455,5,0,0,30,1908.04
983,25,0,31,3,16075,238,0,80,0,0,25,734.085
1234,2,0,36,3,6740,112,274,35,1,0,25,1541.34
950,8,0,38,0,4370,71,5,17,0,0,30,197.64
347,3,0,10,2,2593,35,16,13,0,0,30,169.12
1691,0,0,23,0,0,0,0,0,0,1,45,0.0
973,21,1,36,8,10435,93,1,42,0,0,55,159.42
1342,10,0,29,0,1180,36,27,17,0,0,25,176.22
47,8,0,16,3,2853,45,31,19,1,0,30,239.92
811,11,1,43,0,2238,60,16,18,0,1,30,155.92
2937,13,0,43,2,3085,65,190,26,0,0,30,886.0
2919,10,0,44,2,7813,139,399,46,0,0,30,1914.08
603,10,0,37,0,4083,60,0,31,0,0,15,227.865
2482,7,0,41,2,823,18,22,9,0,0,55,45.615
1813,0,0,31,0,2790,15,468,5,0,0,30,1984.2
135,0,0,34,0,3658,79,0,26,0,0,25,168.165
2875,4,0,31,0,3145,22,0,15,0,0,30,126.68
2412,25,0,34,3,15185,221,46,28,0,0,30,800.24
927,3,0,35,0,1558,33,9,31,0,1,30,99.64
181,1,1,40,0,708,9,19,8,0,1,45,65.425
1158,0,0,34,0,13408,160,0,40,0,0,30,542.72
1322,23,1,37,0,910,51,24,21,0,1,25,151.245
251,5,0,45,0,578,15,22,10,0,1,30,111.72
1916,1,0,36,0,1280,19,1,9,0,1,25,62.955
2631,5,0,38,0,305,6,7,2,0,1,45,25.275
2506,7,0,37,1,2485,37,281,15,0,0,30,1224.88
2668,5,0,40,0,420,12,39,6,0,1,30,173.28
115,0,0,35,0,6440,83,181,24,0,0,30,984.92
365,5,0,40,1,6680,94,197,31,0,0,30,1058.96
1358,0,0,30,0,13208,153,0,36,0,0,30,534.44
723,19,0,36,8,10245,92,0,39,1,0,55,155.055
2528,5,1,35,0,305,6,7,2,0,1,30,40.44
2681,5,0,39,0,1048,19,48,10,0,1,45,146.675
314,4,0,31,0,15225,172,135,24,0,0,25,1300.365
1760,0,0,36,0,5423,88,0,7,0,0,25,247.995
1204,0,0,40,0,2168,54,5,35,0,0,15,149.71
